timestamp,portfolio_pnl,drawdown,PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL
2147200,39936.0,5.0,-3646.0,29551.0,-6758.0,14037.0,6752.0
2147300,39931.0,10.0,-3706.0,29411.0,-6888.0,13847.0,7267.0
2147400,39926.0,15.0,-3826.0,29501.0,-6853.0,13692.0,7412.0
2147500,39936.0,5.0,-3876.0,29191.0,-7058.0,13862.0,7817.0
2147600,39931.0,10.0,-3906.0,29166.0,-6928.0,14172.0,7427.0
2147700,39936.0,5.0,-3896.0,29426.0,-6918.0,14122.0,7202.0
2147800,39931.0,10.0,-4046.0,29491.0,-7128.0,14292.0,7322.0
2147900,39931.0,10.0,-3866.0,29771.0,-7168.0,14122.0,7072.0
2148000,39931.0,10.0,-3816.0,29596.0,-6898.0,14092.0,6957.0
2148100,39931.0,10.0,-3796.0,29536.0,-6553.0,14312.0,6432.0
2148200,39931.0,10.0,-3696.0,29341.0,-6523.0,14272.0,6537.0
2148300,39926.0,15.0,-3766.0,29511.0,-6463.0,14172.0,6472.0
2148400,39931.0,10.0,-3516.0,29326.0,-6283.0,14222.0,6182.0
2148500,39926.0,15.0,-3566.0,29666.0,-6423.0,14262.0,5987.0
2148600,39936.0,5.0,-3676.0,29396.0,-6448.0,14222.0,6442.0
2148700,39931.0,10.0,-3696.0,29311.0,-6283.0,14422.0,6177.0
2148800,39931.0,10.0,-3666.0,29486.0,-6283.0,14392.0,6002.0
2148900,39931.0,10.0,-3736.0,29411.0,-6108.0,14502.0,5862.0
2149000,40101.0,0.0,-3761.0,29311.0,-6123.0,14427.0,6247.0
2149100,39931.0,170.0,-3856.0,29411.0,-5918.0,14342.0,5952.0
2149200,39931.0,170.0,-3906.0,29376.0,-5908.0,14347.0,6022.0
2149300,39936.0,165.0,-3816.0,29511.0,-5723.0,14192.0,5772.0
2149400,39941.0,160.0,-3756.0,29636.0,-5873.0,14152.0,5782.0
2149500,39941.0,160.0,-3666.0,29466.0,-5878.0,14057.0,5962.0
2149600,39936.0,165.0,-3826.0,29531.0,-5893.0,13862.0,6262.0
2149700,39921.0,180.0,-3616.0,29476.0,-5843.0,13982.0,5922.0
2149800,39931.0,170.0,-3576.0,29571.0,-5738.0,13902.0,5772.0
2149900,39931.0,170.0,-3506.0,29871.0,-5898.0,13697.0,5767.0
2150000,39936.0,165.0,-3696.0,29956.0,-5928.0,13742.0,5862.0
2150100,39936.0,165.0,-3526.0,29921.0,-5663.0,13872.0,5332.0
2150200,39921.0,180.0,-3686.0,29761.0,-5818.0,13722.0,5942.0
2150300,39931.0,170.0,-3696.0,29896.0,-5778.0,13607.0,5902.0
2150400,39926.0,175.0,-3606.0,30081.0,-5658.0,13517.0,5592.0
2150500,39926.0,175.0,-3556.0,30226.0,-5863.0,13692.0,5427.0
2150600,39921.0,180.0,-3626.0,30161.0,-5893.0,13907.0,5372.0
2150700,39936.0,165.0,-3676.0,30226.0,-5683.0,13942.0,5127.0
2150800,39926.0,175.0,-3806.0,30256.0,-5853.0,14042.0,5287.0
2150900,39936.0,165.0,-3726.0,30101.0,-5743.0,13992.0,5312.0
2151000,39921.0,180.0,-3666.0,30386.0,-5963.0,14192.0,4972.0
2151100,39926.0,175.0,-3826.0,30531.0,-5998.0,14122.0,5097.0
2151200,39936.0,165.0,-3796.0,30741.0,-5968.0,14152.0,4807.0
2151300,39936.0,165.0,-3686.0,30551.0,-6073.0,14352.0,4792.0
2151400,39921.0,180.0,-3456.0,30636.0,-6023.0,14512.0,4252.0
2151500,40012.5,88.5,-3711.5,30609.5,-5812.5,14358.5,4568.5
2151600,40005.5,95.5,-3641.5,30515.0,-5938.5,14474.0,4596.5
2151700,40118.5,0.0,-3621.5,30457.5,-5872.0,14492.0,4662.5
2151800,40115.5,3.0,-3633.5,30441.0,-5777.5,14462.0,4623.5
2151900,40115.5,3.0,-3741.5,30444.0,-5713.0,14496.5,4629.5
2152000,40117.0,1.5,-3717.5,30420.0,-5668.0,14501.0,4581.5
2152100,40117.0,1.5,-3765.5,30379.5,-5669.5,14426.0,4746.5
2152200,40115.5,3.0,-3762.5,30411.0,-5599.0,14400.5,4665.5
2152300,40115.5,3.0,-3684.5,30487.5,-5593.0,14432.0,4473.5
2152400,40121.5,0.0,-3717.5,30484.5,-5557.0,14438.0,4473.5
2152500,40117.0,4.5,-3710.0,30492.0,-5606.5,14489.0,4452.5
2152600,40120.0,1.5,-3675.5,30523.5,-5540.5,14495.0,4317.5
2152700,40118.5,3.0,-3597.5,30514.5,-5521.0,14462.0,4260.5
2152800,40115.5,6.0,-3609.5,30523.5,-5579.5,14445.5,4335.5
2152900,40115.5,6.0,-3612.5,30502.5,-5599.0,14405.0,4419.5
2153000,40118.5,3.0,-3636.5,30435.0,-5620.0,14487.5,4452.5
2153100,40114.0,7.5,-3657.5,30396.0,-5629.0,14549.0,4455.5
2153200,40118.5,3.0,-3803.0,30373.5,-5639.5,14561.0,4626.5
2153300,40117.0,4.5,-3846.5,30367.5,-5675.5,14507.0,4764.5
2153400,40115.5,6.0,-3882.5,30387.0,-5582.5,14540.0,4653.5
2153500,40115.5,6.0,-3866.0,30426.0,-5587.0,14600.0,4542.5
2153600,40117.0,4.5,-3915.5,30409.5,-5561.5,14615.0,4569.5
2153700,40115.5,6.0,-3921.5,30373.5,-5590.0,14609.0,4644.5
2153800,40118.5,3.0,-3876.5,30301.5,-5602.0,14660.0,4635.5
2153900,40120.0,1.5,-3849.5,30292.5,-5540.5,14624.0,4593.5
2154000,40117.0,4.5,-3846.5,30262.5,-5546.5,14651.0,4596.5
2154100,40115.5,6.0,-3888.5,30226.5,-5503.0,14678.0,4602.5
2154200,40115.5,6.0,-3929.0,30219.0,-5473.0,14711.0,4587.5
2154300,40118.5,3.0,-3816.5,30153.0,-5477.5,14708.0,4551.5
2154400,40115.5,6.0,-3825.5,30133.5,-5491.0,14672.0,4626.5
2154500,40117.0,4.5,-3867.5,30087.0,-5536.0,14759.0,4674.5
2154600,40120.0,1.5,-3882.5,30102.0,-5554.0,14819.0,4635.5
2154700,40118.5,3.0,-3849.5,30082.5,-5515.0,14831.0,4569.5
2154800,40118.5,3.0,-3843.5,30058.5,-5473.0,14795.0,4581.5
2154900,40117.0,4.5,-3825.5,30028.5,-5527.0,14850.5,4590.5
2155000,40117.0,4.5,-3780.5,30078.0,-5542.0,14801.0,4560.5
2155100,40117.0,4.5,-3810.5,30118.5,-5594.5,14840.0,4563.5
2155200,40118.5,3.0,-3825.5,30076.5,-5609.5,14831.0,4646.0
2155300,40118.5,3.0,-3768.5,30046.5,-5647.0,14780.0,4707.5
2155400,40115.5,6.0,-3762.5,29997.0,-5738.5,14712.5,4907.0
2155500,40115.5,6.0,-3846.5,30046.5,-5794.0,14732.0,4977.5
2155600,40115.5,6.0,-3867.5,30006.0,-5786.5,14735.0,5028.5
2155700,40117.0,4.5,-3878.0,29952.0,-5809.0,14834.0,5018.0
2155800,40118.5,3.0,-3882.5,29902.5,-5752.0,14786.0,5064.5
2155900,40118.5,3.0,-3801.5,29838.0,-5774.5,14822.0,5034.5
2156000,40118.5,3.0,-3765.5,29845.5,-5804.5,14762.0,5081.0
2156100,40117.0,4.5,-3741.5,29817.0,-5776.0,14771.0,5046.5
2156200,40117.0,4.5,-3819.5,29860.5,-5803.0,14784.5,5094.5
2156300,40117.0,4.5,-3830.0,29868.0,-5849.5,14843.0,5085.5
2156400,40118.5,3.0,-3774.5,29739.0,-5894.5,14843.0,5205.5
2156500,40115.5,6.0,-3795.5,29829.0,-5930.5,14843.0,5169.5
2156600,40115.5,6.0,-3824.0,29803.5,-5888.5,14816.0,5208.5
2156700,40171.0,0.0,-3737.0,29874.0,-5939.5,14775.5,5198.0
2156800,40169.5,1.5,-3818.0,29842.5,-5983.0,14823.5,5304.5
2156900,40118.5,52.5,-3864.5,29752.5,-6014.5,14768.0,5477.0
2157000,40117.0,54.0,-3849.5,29749.5,-6059.5,14751.5,5525.0
2157100,40117.0,54.0,-3876.5,29815.5,-6100.0,14720.0,5558.0
2157200,40117.0,54.0,-3930.5,29860.5,-6062.5,14771.0,5478.5
2157300,40118.5,52.5,-3870.5,29788.5,-6088.0,14735.0,5553.5
2157400,40117.0,54.0,-3834.5,29740.5,-6043.0,14630.0,5624.0
2157500,40073.5,97.5,-3885.5,29664.0,-6070.0,14625.5,5739.5
2157600,40115.5,55.5,-3843.5,29644.5,-6110.5,14603.0,5822.0
2157700,40117.0,54.0,-3843.5,29638.5,-6124.0,14681.0,5765.0
2157800,40117.0,54.0,-3804.5,29650.5,-6130.0,14657.0,5744.0
2157900,40117.0,54.0,-3822.5,29590.5,-6068.5,14727.5,5690.0
2158000,40117.0,54.0,-3801.5,29614.5,-6061.0,14765.0,5600.0
2158100,40117.0,54.0,-3798.5,29571.0,-6067.0,14753.0,5658.5
2158200,40117.0,54.0,-3876.5,29566.5,-6074.5,14660.0,5841.5
2158300,40117.0,54.0,-3878.0,29535.0,-6065.5,14633.0,5892.5
2158400,40115.5,55.5,-3912.5,29464.5,-6028.0,14705.0,5886.5
2158500,40117.0,54.0,-3956.0,29488.5,-6004.0,14712.5,5876.0
2158600,40115.5,55.5,-3977.0,29491.5,-6002.5,14717.0,5886.5
2158700,40114.0,57.0,-3903.5,29479.5,-6031.0,14705.0,5864.0
2158800,40118.5,52.5,-3819.5,29472.0,-5920.0,14696.0,5690.0
2158900,40117.0,54.0,-3831.5,29476.5,-5929.0,14657.0,5744.0
2159000,40120.0,51.0,-3816.5,29472.0,-5987.5,14609.0,5843.0
2159100,40115.5,55.5,-3801.5,29527.5,-6002.5,14585.0,5807.0
2159200,40114.0,57.0,-3729.5,29425.5,-6001.0,14558.0,5861.0
2159300,40115.5,55.5,-3687.5,29422.5,-6017.5,14651.0,5747.0
2159400,40115.5,55.5,-3780.5,29401.5,-6056.5,14684.0,5867.0
2159500,40117.0,54.0,-3792.5,29425.5,-6058.0,14708.0,5834.0
2159600,40118.5,52.5,-3816.5,29467.5,-6050.5,14741.0,5777.0
2159700,40118.5,52.5,-3822.5,29344.5,-5992.0,14741.0,5847.5
2159800,40115.5,55.5,-3828.5,29338.5,-5984.5,14711.0,5879.0
2159900,40120.0,51.0,-3831.5,29344.5,-6005.5,14744.0,5868.5
2160000,40114.0,57.0,-3852.5,29347.5,-5996.5,14756.0,5859.5
2160100,40115.5,55.5,-3819.5,29338.5,-5986.0,14840.0,5742.5
2160200,40117.0,54.0,-3855.5,29245.5,-5947.0,14846.0,5828.0
2160300,40112.5,58.5,-3855.5,29266.5,-5899.0,14819.0,5781.5
2160400,40072.0,99.0,-3816.5,29274.0,-5875.0,14783.0,5706.5
2160500,40115.5,55.5,-3813.5,29301.0,-5920.0,14741.0,5807.0
2160600,40117.0,54.0,-3783.5,29245.5,-5923.0,14717.0,5861.0
2160700,40118.5,52.5,-3840.5,29209.5,-6002.5,14711.0,6041.0
2160800,40118.5,52.5,-3900.5,29188.5,-6035.5,14702.0,6164.0
2160900,40118.5,52.5,-3960.5,29227.5,-6103.0,14711.0,6243.5
2161000,40117.0,54.0,-3954.5,29143.5,-6112.0,14684.0,6356.0
2161100,40115.5,55.5,-3993.5,29074.5,-6098.5,14699.0,6434.0
2161200,40114.0,57.0,-3936.5,29086.5,-6094.0,14676.5,6381.5
2161300,40117.0,54.0,-3977.0,29011.5,-6026.5,14615.0,6494.0
2161400,40117.0,54.0,-3954.5,29017.5,-5953.0,14603.0,6404.0
2161500,40117.0,54.0,-3957.5,28978.5,-5966.5,14618.0,6444.5
2161600,40118.5,52.5,-3948.5,28984.5,-5993.5,14618.0,6458.0
2161700,40172.5,0.0,-3860.0,28942.5,-5945.5,14661.5,6374.0
2161800,40117.0,55.5,-3936.5,28966.5,-5917.0,14573.0,6431.0
2161900,40118.5,54.0,-3882.5,29059.5,-5986.0,14597.0,6330.5
2162000,40118.5,54.0,-3891.5,29050.5,-5974.0,14582.0,6351.5
2162100,40115.5,57.0,-3948.5,29044.5,-5950.0,14591.0,6378.5
2162200,40115.5,57.0,-3882.5,28969.5,-5942.5,14568.5,6402.5
2162300,40118.5,54.0,-3927.5,28951.5,-5906.5,14573.0,6428.0
2162400,40117.0,55.5,-4032.5,28959.0,-5923.0,14579.0,6534.5
2162500,40117.0,55.5,-4058.0,28894.5,-5954.5,14622.5,6612.5
2162600,40115.5,57.0,-4092.5,28879.5,-6044.5,14639.0,6734.0
2162700,40118.5,54.0,-4173.5,28852.5,-6098.5,14519.0,7019.0
2162800,40118.5,54.0,-4194.5,28771.5,-6125.5,14522.0,7145.0
2162900,40115.5,57.0,-4230.5,28815.0,-6097.0,14558.0,7070.0
2163000,40117.0,55.5,-4191.5,28878.0,-6203.5,14612.0,7022.0
2163100,40117.0,55.5,-4194.5,28810.5,-6238.0,14475.5,7263.5
2163200,40118.5,54.0,-4158.5,28846.5,-6212.5,14426.0,7217.0
2163300,40117.0,55.5,-4122.5,28870.5,-6202.0,14474.0,7097.0
2163400,40114.0,58.5,-4068.5,28897.5,-6268.0,14441.0,7112.0
2163500,40117.0,55.5,-4034.0,28972.5,-6275.5,14378.0,7076.0
2163600,40117.0,55.5,-4035.5,29041.5,-6316.0,14348.0,7079.0
2163700,40117.0,55.5,-4067.0,29050.5,-6269.5,14402.0,7001.0
2163800,40117.0,55.5,-4161.5,29095.5,-6244.0,14387.0,7040.0
2163900,40118.5,54.0,-4211.0,29131.5,-6172.0,14441.0,6929.0
2164000,40117.0,55.5,-4227.5,29113.5,-6187.0,14417.0,7001.0
2164100,40117.0,55.5,-4203.5,29101.5,-6175.0,14390.0,7004.0
2164200,40115.5,57.0,-4211.0,29122.5,-6247.0,14324.0,7127.0
2164300,40117.0,55.5,-4200.5,29122.5,-6236.5,14322.5,7109.0
2164400,40118.5,54.0,-4122.5,29101.5,-6257.5,14351.0,7046.0
